(:TIME :OPEN :HIGH :LOW :CLOSE :VOL)
(20050223 0.881 0.882 0.866 0.876 1111793167)
(20050224 0.876 0.876 0.868 0.876 394141216)
(20050225 0.877 0.887 0.875 0.880 446597972)
(20050228 0.878 0.879 0.870 0.872 164467462)
(20050301 0.870 0.873 0.865 0.867 180573596)
(20050302 0.867 0.874 0.857 0.859 215572195)
(20050303 0.858 0.861 0.854 0.859 85830280)
(20050304 0.859 0.865 0.857 0.860 111715108)
(20050307 0.860 0.865 0.860 0.862 100713450)
(20050308 0.864 0.875 0.863 0.874 259486071)
(20050309 0.874 0.878 0.869 0.873 174863933)
(20050310 0.872 0.872 0.852 0.853 287003280)
(20050311 0.853 0.856 0.850 0.855 112888757)
(20050314 0.855 0.864 0.845 0.857 199760619)
(20050315 0.856 0.856 0.842 0.843 239546928)
(20050316 0.841 0.843 0.832 0.834 183701630)
(20050317 0.834 0.837 0.827 0.828 108082309)
(20050318 0.828 0.832 0.821 0.824 188092685)
(20050321 0.824 0.826 0.821 0.824 85036479)
(20050322 0.824 0.825 0.807 0.808 131858193)
(20050323 0.807 0.811 0.800 0.804 117013259)
(20050324 0.802 0.807 0.797 0.806 94998083)
(20050325 0.806 0.809 0.802 0.805 87190626)
(20050328 0.803 0.805 0.797 0.802 57019414)
(20050329 0.802 0.811 0.802 0.805 116246835)
(20050330 0.804 0.804 0.791 0.793 153413202)
(20050331 0.792 0.795 0.786 0.794 101747478)
(20050401 0.793 0.834 0.790 0.829 409666114)
(20050404 0.814 0.818 0.804 0.810 188905456)
(20050405 0.808 0.813 0.802 0.805 104559653)
(20050406 0.802 0.825 0.799 0.818 212119445)
(20050407 0.818 0.839 0.815 0.824 301938686)
(20050408 0.824 0.836 0.819 0.836 201477220)
(20050411 0.833 0.841 0.827 0.830 135974256)
(20050412 0.830 0.832 0.820 0.821 174409112)
(20050413 0.831 0.842 0.830 0.840 337790234)
(20050414 0.840 0.841 0.828 0.828 173240368)
(20050415 0.827 0.827 0.817 0.818 230119725)
(20050418 0.815 0.819 0.805 0.808 133944475)
(20050419 0.808 0.812 0.804 0.811 65792238)
(20050420 0.810 0.810 0.796 0.797 174772102)
(20050421 0.798 0.804 0.793 0.797 190472801)
(20050422 0.799 0.802 0.795 0.798 196930000)
(20050425 0.797 0.797 0.786 0.790 250442307)
(20050426 0.790 0.796 0.788 0.793 179953915)
(20050427 0.796 0.796 0.787 0.788 176930957)
(20050428 0.787 0.798 0.783 0.797 245322577)
(20050429 0.795 0.798 0.785 0.788 179141487)
(20050509 0.800 0.801 0.779 0.780 263073126)
(20050510 0.780 0.785 0.770 0.783 245236858)
(20050511 0.782 0.784 0.776 0.777 165612893)
(20050512 0.775 0.777 0.759 0.760 206669530)
(20050513 0.758 0.769 0.755 0.762 149807953)
(20050516 0.762 0.762 0.747 0.750 111490042)
(20050517 0.750 0.760 0.746 0.754 89362441)
(20050518 0.752 0.761 0.747 0.755 108860183)
(20050519 0.754 0.759 0.746 0.755 112607242)
(20050520 0.754 0.760 0.752 0.757 111791410)
(20050523 0.753 0.753 0.742 0.743 184723307)
(20050524 0.741 0.744 0.733 0.741 181493672)
(20050525 0.740 0.749 0.737 0.743 115554585)
(20050526 0.743 0.746 0.734 0.736 92004060)
(20050527 0.735 0.739 0.728 0.730 143076640)
(20050530 0.727 0.739 0.722 0.736 161242196)
(20050531 0.736 0.742 0.733 0.738 126332693)
(20050601 0.736 0.739 0.724 0.726 113509625)
(20050602 0.724 0.725 0.704 0.707 257614194)
(20050603 0.708 0.710 0.700 0.705 197185637)
(20050606 0.704 0.721 0.700 0.720 303683830)
(20050607 0.718 0.735 0.716 0.720 257538834)
(20050608 0.722 0.784 0.722 0.781 737774296)
(20050609 0.780 0.800 0.770 0.789 578588882)
(20050610 0.787 0.787 0.770 0.775 355293345)
(20050613 0.776 0.779 0.761 0.774 308249593)
(20050614 0.774 0.781 0.767 0.768 190898642)
(20050615 0.765 0.766 0.753 0.755 167235406)
(20050616 0.753 0.767 0.753 0.766 121380529)
(20050617 0.770 0.782 0.769 0.772 223969031)
(20050620 0.785 0.805 0.777 0.804 452933571)
(20050621 0.804 0.804 0.792 0.794 222879943)
(20050622 0.792 0.799 0.789 0.798 181189669)
(20050623 0.796 0.798 0.791 0.794 215962883)
(20050624 0.791 0.795 0.786 0.794 124985925)
(20050627 0.797 0.810 0.797 0.808 302382500)
(20050628 0.804 0.804 0.795 0.802 202451738)
(20050629 0.804 0.805 0.789 0.791 191273995)
(20050630 0.790 0.790 0.767 0.769 194242563)
(20050701 0.768 0.769 0.762 0.767 206710096)
(20050704 0.764 0.764 0.754 0.761 131948404)
(20050705 0.760 0.760 0.752 0.754 75954654)
(20050706 0.754 0.759 0.749 0.750 139076789)
(20050707 0.749 0.754 0.748 0.750 70027450)
(20050708 0.748 0.748 0.737 0.743 115617701)
(20050711 0.751 0.764 0.740 0.741 168443720)
(20050712 0.739 0.774 0.734 0.772 308070476)
(20050713 0.768 0.770 0.760 0.765 184089812)
(20050714 0.764 0.779 0.760 0.768 269975769)
(20050715 0.770 0.774 0.763 0.766 112558069)
(20050718 0.762 0.766 0.760 0.764 61946427)
(20050719 0.762 0.769 0.762 0.763 118422060)
(20050720 0.764 0.774 0.763 0.772 142102052)
(20050721 0.771 0.776 0.769 0.775 184096147)
(20050722 0.780 0.795 0.774 0.787 374007989)
(20050725 0.785 0.787 0.782 0.784 180596134)
(20050726 0.784 0.801 0.783 0.796 397024143)
(20050727 0.795 0.803 0.793 0.803 298783433)
(20050728 0.803 0.806 0.796 0.799 328870113)
(20050729 0.799 0.800 0.794 0.797 218586555)
